bonjour	/bɔ̃ʒuʁ/	xin chào (ban ngày)
maintenant	/mɛ̃tnɑ̃/	bây giờ
tôt	/to/	sớm
tard	/taʁ/	muộn
toujours	/tuʒuʁ/	luôn luôn
souvent	/suvɑ̃/	thường xuyên
parfois	/paʁfwa/	thỉnh thoảng
jamais	/ʒamɛ/	không bao giờ
le week-end	/lə wikɛnd/	cuối tuần
la famille	/la famij/	gia đình
le père	/lə pɛʁ/	bố
la mère	/la mɛʁ/	mẹ
les parents	/le paʁɑ̃/	bố mẹ
le fils	/lə fis/	con trai
la fille	/la fij/	con gái; cô gái
le frère	/lə fʁɛʁ/	anh trai; em trai
la sœur	/la sœʁ/	chị gái; em gái
le mari	/lə maʁi/	chồng
la femme	/la fam/	vợ; người phụ nữ
l'enfant	/lɑ̃fɑ̃/	đứa trẻ
le bébé	/lə bebe/	em bé
le grand-père	/lə ɡʁɑ̃pɛʁ/	ông
la grand-mère	/la ɡʁɑ̃mɛʁ/	bà
l'oncle	/lɔ̃kl/	chú; bác; cậu
la tante	/la tɑ̃t/	cô; dì; bác gái
le cousin	/lə kuzɛ̃/	anh/em họ (nam)
l'ami	/lami/	bạn (nam)
l'amie	/lami/	bạn (nữ)
l'homme	/lɔm/	người đàn ông
le garçon	/lə ɡaʁsɔ̃/	cậu bé; bồi bàn
la personne	/la pɛʁsɔn/	người
les gens	/le ʒɑ̃/	mọi người
le nom	/lə nɔ̃/	tên; họ
le prénom	/lə pʁenɔ̃/	tên riêng
l'âge	/laʒ/	tuổi
le pain	/lə pɛ̃/	bánh mì
le beurre	/lə bœʁ/	bơ
le fromage	/lə fʁɔmaʒ/	phô mai
l'œuf	/lœf/	quả trứng
la viande	/la vjɑ̃d/	thịt
le poulet	/lə pulɛ/	thịt gà
le poisson	/lə pwasɔ̃/	cá
le riz	/lə ʁi/	cơm; gạo
les pâtes	/le pat/	mì Ý
la soupe	/la sup/	súp; canh
la salade	/la salad/	rau trộn; xà lách
le légume	/lə leɡym/	rau củ
le fruit	/lə fʁɥi/	trái cây
la pomme	/la pɔm/	quả táo
la banane	/la banan/	quả chuối
l'orange	/lɔʁɑ̃ʒ/	quả cam
la tomate	/la tɔmat/	quả cà chua
la pomme de terre	/la pɔm də tɛʁ/	củ khoai tây
le sucre	/lə sykʁ/	đường
le sel	/lə sɛl/	muối
le gâteau	/lə ɡɑto/	bánh ngọt
le chocolat	/lə ʃɔkɔla/	sô cô la
l'eau	/lo/	nước
le lait	/lə lɛ/	sữa
le café	/lə kafe/	cà phê; quán cà phê
le thé	/lə te/	trà
le jus	/lə ʒy/	nước ép
le vin	/lə vɛ̃/	rượu vang
la bière	/la bjɛʁ/	bia
le petit-déjeuner	/lə pəti deʒøne/	bữa sáng
le déjeuner	/lə deʒøne/	bữa trưa
le dîner	/lə dine/	bữa tối
le repas	/lə ʁəpa/	bữa ăn
le restaurant	/lə ʁɛstɔʁɑ̃/	nhà hàng
le menu	/lə məny/	thực đơn
l'addition	/ladisjɔ̃/	hoá đơn
la table	/la tabl/	cái bàn
l'assiette	/lasjɛt/	cái đĩa
le verre	/lə vɛʁ/	cái ly; thuỷ tinh
la maison	/la mɛzɔ̃/	ngôi nhà
l'appartement	/lapaʁtəmɑ̃/	căn hộ
la chambre	/la ʃɑ̃bʁ/	phòng ngủ
la cuisine	/la kɥizin/	bếp; ẩm thực
la salle de bains	/la sal də bɛ̃/	phòng tắm
le salon	/lə salɔ̃/	phòng khách
la porte	/la pɔʁt/	cửa ra vào
la fenêtre	/la fənɛtʁ/	cửa sổ
le lit	/lə li/	cái giường
la chaise	/la ʃɛz/	cái ghế
le canapé	/lə kanape/	ghế sofa
l'armoire	/laʁmwaʁ/	tủ quần áo
le miroir	/lə miʁwaʁ/	cái gương
la clé	/la kle/	chìa khoá
la lampe	/la lɑ̃p/	đèn
le mur	/lə myʁ/	bức tường
le jardin	/lə ʒaʁdɛ̃/	khu vườn
l'escalier	/lɛskalje/	cầu thang
l'étage	/letaʒ/	tầng lầu
le sol	/lə sɔl/	sàn nhà; mặt đất
la ville	/la vil/	thành phố
le village	/lə vilaʒ/	làng
la rue	/la ʁy/	đường phố
la place	/la plas/	quảng trường; chỗ ngồi
le magasin	/lə maɡazɛ̃/	cửa hàng
le marché	/lə maʁʃe/	chợ
la boulangerie	/la bulɑ̃ʒʁi/	tiệm bánh mì
la pharmacie	/la faʁmasi/	hiệu thuốc
la banque	/la bɑ̃k/	ngân hàng
la poste	/la pɔst/	bưu điện
l'hôtel	/lotɛl/	khách sạn
l'hôpital	/lopital/	bệnh viện
l'école	/lekɔl/	trường học
l'église	/leɡliz/	nhà thờ
le parc	/lə paʁk/	công viên
le musée	/lə myze/	bảo tàng
la gare	/la ɡaʁ/	nhà ga
l'aéroport	/laeʁɔpɔʁ/	sân bay
le bureau	/lə byʁo/	văn phòng; bàn làm việc
la voiture	/la vwatyʁ/	xe hơi
le bus	/lə bys/	xe buýt
le train	/lə tʁɛ̃/	tàu hoả
le métro	/lə metʁo/	tàu điện ngầm
l'avion	/lavjɔ̃/	máy bay
le vélo	/lə velo/	xe đạp
le taxi	/lə taksi/	xe taxi
le bateau	/lə bato/	con thuyền
le billet	/lə bijɛ/	vé
le voyage	/lə vwajaʒ/	chuyến đi
la route	/la ʁut/	con đường
le pays	/lə pei/	đất nước
la France	/la fʁɑ̃s/	nước Pháp
le Vietnam	/lə vjɛtnam/	Việt Nam
le vêtement	/lə vɛtmɑ̃/	quần áo
la chemise	/la ʃəmiz/	áo sơ mi
le pantalon	/lə pɑ̃talɔ̃/	quần dài
la robe	/la ʁɔb/	váy liền
la jupe	/la ʒyp/	chân váy
le manteau	/lə mɑ̃to/	áo khoác dài
la veste	/la vɛst/	áo khoác ngắn
le pull	/lə pyl/	áo len
le tee-shirt	/lə tiʃœʁt/	áo phông
les chaussures	/le ʃosyʁ/	giày
les chaussettes	/le ʃosɛt/	tất
le chapeau	/lə ʃapo/	cái mũ
l'écharpe	/leʃaʁp/	khăn quàng cổ
les lunettes	/le lynɛt/	kính mắt
le sac	/lə sak/	cái túi
la montre	/la mɔ̃tʁ/	đồng hồ đeo tay
la taille	/la taj/	cỡ; eo
blanc	/blɑ̃/	màu trắng
noir	/nwaʁ/	màu đen
rouge	/ʁuʒ/	màu đỏ
bleu	/blø/	màu xanh dương
vert	/vɛʁ/	màu xanh lá
jaune	/ʒon/	màu vàng
orange	/ɔʁɑ̃ʒ/	màu cam
rose	/ʁoz/	màu hồng
gris	/ɡʁi/	màu xám
marron	/maʁɔ̃/	màu nâu
violet	/vjɔlɛ/	màu tím
clair	/klɛʁ/	sáng màu; rõ ràng
foncé	/fɔ̃se/	sẫm màu
la couleur	/la kulœʁ/	màu sắc
le corps	/lə kɔʁ/	cơ thể
la tête	/la tɛt/	cái đầu
le visage	/lə vizaʒ/	khuôn mặt
l'œil	/lœj/	con mắt
les yeux	/le zjø/	đôi mắt
le nez	/lə ne/	cái mũi
la bouche	/la buʃ/	cái miệng
l'oreille	/lɔʁɛj/	cái tai
les cheveux	/le ʃəvø/	tóc
la main	/la mɛ̃/	bàn tay
le bras	/lə bʁa/	cánh tay
la jambe	/la ʒɑ̃b/	chân
le pied	/lə pje/	bàn chân
le dos	/lə do/	lưng
le ventre	/lə vɑ̃tʁ/	bụng
le cœur	/lə kœʁ/	trái tim
la dent	/la dɑ̃/	cái răng
la santé	/la sɑ̃te/	sức khoẻ
malade	/malad/	bị ốm
le temps	/lə tɑ̃/	thời tiết; thời gian
le soleil	/lə sɔlɛj/	mặt trời; nắng
la pluie	/la plɥi/	mưa
la neige	/la nɛʒ/	tuyết
le vent	/lə vɑ̃/	gió
le nuage	/lə nɥaʒ/	đám mây
le ciel	/lə sjɛl/	bầu trời
chaud	/ʃo/	nóng
froid	/fʁwa/	lạnh
le printemps	/lə pʁɛ̃tɑ̃/	mùa xuân
l'été	/lete/	mùa hè
l'automne	/lotɔn/	mùa thu
l'hiver	/livɛʁ/	mùa đông
la saison	/la sɛzɔ̃/	mùa
la mer	/la mɛʁ/	biển
la montagne	/la mɔ̃taɲ/	núi
être	/ɛtʁ/	thì; là; ở
avoir	/avwaʁ/	có
aller	/ale/	đi
faire	/fɛʁ/	làm
dire	/diʁ/	nói; bảo
pouvoir	/puvwaʁ/	có thể
vouloir	/vulwaʁ/	muốn
devoir	/dəvwaʁ/	phải
savoir	/savwaʁ/	biết (thông tin)
connaître	/kɔnɛtʁ/	quen biết
venir	/vəniʁ/	đến
voir	/vwaʁ/	nhìn thấy
prendre	/pʁɑ̃dʁ/	lấy; dùng (phương tiện)
donner	/dɔne/	cho; đưa
parler	/paʁle/	nói chuyện
manger	/mɑ̃ʒe/	ăn
boire	/bwaʁ/	uống
dormir	/dɔʁmiʁ/	ngủ
habiter	/abite/	sống ở; cư trú
travailler	/tʁavaje/	làm việc
étudier	/etydje/	học
apprendre	/apʁɑ̃dʁ/	học; tiếp thu
lire	/liʁ/	đọc
écrire	/ekʁiʁ/	viết
écouter	/ekute/	nghe
regarder	/ʁəɡaʁde/	xem; nhìn
comprendre	/kɔ̃pʁɑ̃dʁ/	hiểu
aimer	/eme/	yêu; thích
adorer	/adɔʁe/	rất thích
détester	/detɛste/	ghét
acheter	/aʃte/	mua
vendre	/vɑ̃dʁ/	bán
payer	/peje/	trả tiền
coûter	/kute/	có giá; tốn
chercher	/ʃɛʁʃe/	tìm
trouver	/tʁuve/	tìm thấy; thấy rằng
demander	/dəmɑ̃de/	hỏi; yêu cầu
répondre	/ʁepɔ̃dʁ/	trả lời
attendre	/atɑ̃dʁ/	chờ đợi
entrer	/ɑ̃tʁe/	đi vào
sortir	/sɔʁtiʁ/	đi ra; đi chơi
partir	/paʁtiʁ/	rời đi
arriver	/aʁive/	đến nơi; xảy ra
rester	/ʁɛste/	ở lại
marcher	/maʁʃe/	đi bộ; hoạt động tốt
courir	/kuʁiʁ/	chạy
jouer	/ʒwe/	chơi
chanter	/ʃɑ̃te/	hát
danser	/dɑ̃se/	nhảy múa
voyager	/vwajaʒe/	đi du lịch
commencer	/kɔmɑ̃se/	bắt đầu
finir	/finiʁ/	kết thúc
ouvrir	/uvʁiʁ/	mở
fermer	/fɛʁme/	đóng
appeler	/aple/	gọi
téléphoner	/telefɔne/	gọi điện thoại
penser	/pɑ̃se/	nghĩ
croire	/kʁwaʁ/	tin
oublier	/ublije/	quên
se lever	/sə ləve/	thức dậy; đứng dậy
se laver	/sə lave/	tắm rửa
s'appeler	/saple/	tên là
grand	/ɡʁɑ̃/	to lớn; cao
petit	/pəti/	nhỏ; thấp
bon	/bɔ̃/	ngon; tốt
mauvais	/movɛ/	dở; tệ
beau	/bo/	đẹp (nam); đẹp
joli	/ʒɔli/	xinh xắn
jeune	/ʒœn/	trẻ
vieux	/vjø/	già; cũ
nouveau	/nuvo/	mới
long	/lɔ̃/	dài
court	/kuʁ/	ngắn
facile	/fasil/	dễ
difficile	/difisil/	khó
cher	/ʃɛʁ/	đắt; thân mến
gratuit	/ɡʁatɥi/	miễn phí
content	/kɔ̃tɑ̃/	vui; hài lòng
triste	/tʁist/	buồn
fatigué	/fatiɡe/	mệt
heureux	/øʁø/	hạnh phúc
gentil	/ʒɑ̃ti/	tử tế
sympa	/sɛ̃pa/	dễ mến
fort	/fɔʁ/	mạnh; to (âm thanh)
faible	/fɛbl/	yếu
plein	/plɛ̃/	đầy
vide	/vid/	trống rỗng
propre	/pʁɔpʁ/	sạch
sale	/sal/	bẩn
rapide	/ʁapid/	nhanh
lent	/lɑ̃/	chậm
libre	/libʁ/	rảnh; tự do
occupé	/ɔkype/	bận
prêt	/pʁɛ/	sẵn sàng
même	/mɛm/	cùng một; ngay cả
autre	/otʁ/	khác
à	/a/	ở; đến; lúc
de	/də/	của; từ
dans	/dɑ̃/	trong
sur	/syʁ/	trên
sous	/su/	dưới
devant	/dəvɑ̃/	phía trước
derrière	/dɛʁjɛʁ/	phía sau
entre	/ɑ̃tʁ/	giữa
avec	/avɛk/	với
sans	/sɑ̃/	không có
pour	/puʁ/	cho; để
chez	/ʃe/	ở nhà (ai đó)
près de	/pʁɛ də/	gần
loin de	/lwɛ̃ də/	xa
à côté de	/a kote də/	bên cạnh
en face de	/ɑ̃ fas də/	đối diện
avant	/avɑ̃/	trước khi
après	/apʁɛ/	sau khi
pendant	/pɑ̃dɑ̃/	trong lúc
depuis	/dəpɥi/	từ khi
jusqu'à	/ʒyska/	cho đến
et	/e/	và
ou	/u/	hoặc
mais	/mɛ/	nhưng
donc	/dɔ̃k/	vậy nên
aussi	/osi/	cũng
très	/tʁɛ/	rất
beaucoup	/boku/	nhiều
un peu	/œ̃ pø/	một chút
trop	/tʁo/	quá
assez	/ase/	khá; đủ
ici	/isi/	ở đây
là	/la/	ở đó
là-bas	/laba/	đằng kia
à gauche	/a ɡoʃ/	bên trái
à droite	/a dʁwat/	bên phải
tout droit	/tu dʁwa/	đi thẳng
en haut	/ɑ̃ o/	ở trên
en bas	/ɑ̃ ba/	ở dưới
dehors	/dəɔʁ/	bên ngoài
dedans	/dədɑ̃/	bên trong
l'argent	/laʁʒɑ̃/	tiền
l'euro	/løʁo/	đồng euro
le prix	/lə pʁi/	giá
le travail	/lə tʁavaj/	công việc
le livre	/lə livʁ/	quyển sách
le stylo	/lə stilo/	cây bút
le papier	/lə papje/	giấy
le téléphone	/lə telefɔn/	điện thoại
l'ordinateur	/lɔʁdinatœʁ/	máy tính
la musique	/la myzik/	âm nhạc
le film	/lə film/	bộ phim
la langue	/la lɑ̃ɡ/	ngôn ngữ; lưỡi
le français	/lə fʁɑ̃sɛ/	tiếng Pháp
le mot	/lə mo/	từ; chữ
la question	/la kɛstjɔ̃/	câu hỏi
la chose	/la ʃoz/	đồ vật; điều
le chien	/lə ʃjɛ̃/	con chó
le chat	/lə ʃa/	con mèo
Comment ça va ?	/kɔmɑ̃ sa va/	Bạn khoẻ không?
Ça va bien, merci.	/sa va bjɛ̃ mɛʁsi/	Tôi khoẻ, cảm ơn.
Et vous ?	/e vu/	Còn bạn thì sao?
Comment allez-vous ?	/kɔmɑ̃t‿ale vu/	Ông/bà có khoẻ không?
Comment tu t'appelles ?	/kɔmɑ̃ ty tapɛl/	Bạn tên là gì?
Je m'appelle...	/ʒə mapɛl/	Tôi tên là...
Enchanté de vous connaître.	/ɑ̃ʃɑ̃te də vu kɔnɛtʁ/	Rất vui được gặp bạn.
D'où venez-vous ?	/du vəne vu/	Bạn từ đâu đến?
Je viens du Vietnam.	/ʒə vjɛ̃ dy vjɛtnam/	Tôi đến từ Việt Nam.
J'habite à Hanoï.	/ʒabit a anɔj/	Tôi sống ở Hà Nội.
Quel âge avez-vous ?	/kɛl aʒ ave vu/	Bạn bao nhiêu tuổi?
J'ai vingt ans.	/ʒe vɛ̃t‿ɑ̃/	Tôi hai mươi tuổi.
Je ne comprends pas.	/ʒə nə kɔ̃pʁɑ̃ pa/	Tôi không hiểu.
Pouvez-vous répéter ?	/puve vu ʁepete/	Bạn nhắc lại được không?
Parlez plus lentement.	/paʁle ply lɑ̃tmɑ̃/	Xin nói chậm lại.
Parlez-vous anglais ?	/paʁle vu ɑ̃ɡlɛ/	Bạn có nói tiếng Anh không?
Je parle un peu français.	/ʒə paʁl œ̃ pø fʁɑ̃sɛ/	Tôi nói được chút tiếng Pháp.
Comment dit-on... en français ?	/kɔmɑ̃ di tɔ̃ ɑ̃ fʁɑ̃sɛ/	Nói... trong tiếng Pháp thế nào?
Je voudrais...	/ʒə vudʁɛ/	Tôi muốn... (lịch sự)
L'addition, s'il vous plaît.	/ladisjɔ̃ sil vu plɛ/	Tính tiền giúp tôi.
Combien ça coûte ?	/kɔ̃bjɛ̃ sa kut/	Cái này giá bao nhiêu?
C'est trop cher.	/sɛ tʁo ʃɛʁ/	Đắt quá.
Où sont les toilettes ?	/u sɔ̃ le twalɛt/	Nhà vệ sinh ở đâu?
Où est la gare ?	/u ɛ la ɡaʁ/	Nhà ga ở đâu?
Je cherche...	/ʒə ʃɛʁʃ/	Tôi đang tìm...
Quelle heure est-il ?	/kɛl œʁ ɛ til/	Mấy giờ rồi?
Il est huit heures.	/il ɛ ɥit‿œʁ/	Tám giờ rồi.
Quel temps fait-il ?	/kɛl tɑ̃ fɛ til/	Thời tiết thế nào?
Il fait beau.	/il fɛ bo/	Trời đẹp.
Il pleut.	/il plø/	Trời đang mưa.
J'ai faim.	/ʒe fɛ̃/	Tôi đói.
J'ai soif.	/ʒe swaf/	Tôi khát.
Je suis fatigué.	/ʒə sɥi fatiɡe/	Tôi mệt.
Aidez-moi, s'il vous plaît.	/ɛde mwa sil vu plɛ/	Làm ơn giúp tôi.
Bonne journée !	/bɔn ʒuʁne/	Chúc một ngày tốt lành!
Bon appétit !	/bɔn‿apeti/	Chúc ngon miệng!
Bon anniversaire !	/bɔn‿anivɛʁsɛʁ/	Chúc mừng sinh nhật!
Je suis désolé.	/ʒə sɥi dezɔle/	Tôi xin lỗi.
Pas de problème.	/pa də pʁɔblɛm/	Không thành vấn đề.
C'est combien ?	/sɛ kɔ̃bjɛ̃/	Bao nhiêu tiền?
C'est ici.	/sɛt‿isi/	Ở đây này.
